TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
name.abuchen.portfolio.math.IRR,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9083333333333333,32,29
name.abuchen.portfolio.snapshot.security.IRRCalculation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5069700460829493,183,74
name.abuchen.portfolio.snapshot.security.DividendCalculation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.49831110247776916,316,82
name.abuchen.portfolio.snapshot.security.SecurityPerformanceSnapshot,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.22248427672955975,192,12
name.abuchen.portfolio.snapshot.security.SharesHeldCalculation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9019607843137255,75,66
name.abuchen.portfolio.snapshot.security.CostCalculation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5391092532807649,422,134
name.abuchen.portfolio.snapshot.security.Calculation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8862745098039215,130,113
name.abuchen.portfolio.snapshot.security.DeltaCalculation,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.7314919557566617,157,117
name.abuchen.portfolio.snapshot.security.DividendTransaction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8351932550208412,284,208
name.abuchen.portfolio.snapshot.security.SecurityPerformanceRecord,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.6636172182872683,605,301
name.abuchen.portfolio.snapshot.security.DividendInitialTransaction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5089285714285714,20,8
name.abuchen.portfolio.snapshot.security.DividendFinalTransaction,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.5089285714285714,20,8
name.abuchen.portfolio.snapshot.security.TransactionComparator,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9705505279034691,96,92
name.abuchen.portfolio.math.IRR,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.9083333333333333,31,28
